CID,IsomericSMILES,sweet,floral,minty,pungent
176,CC(=O)O,-1,-1,-1,-1
177,CC=O,-1,-1,-1,-1
179,CC(C(=O)C)O,-1,-1,-1,-1
180,CC(=O)C,-1,-1,-1,-1
240,C1=CC=C(C=C1)C=O,-1,-1,-1,-1
261,CCCC=O,-1,-1,-1,-1
264,CCCC(=O)O,-1,-1,-1,-1
326,CC(C)C1=CC=C(C=C1)C=O,-1,-1,-1,-1
454,CCCCCCCC=O,-1,-1,-1,-1
460,COC1=CC=CC=C1O,-1,-1,-1,-1
612,CC(C(=O)O)O,-1,-1,-1,-1
798,C1=CC=C2C(=C1)C=CN2,-1,-1,-1,-1
999,C1=CC=C(C=C1)CC(=O)O,-1,-1,-1,-1
1031,CCCO,-1,-1,-1,-1
1060,CC(=O)C(=O)O,-1,-1,-1,-1
1068,CSC,-1,-1,-1,-1
1127,C1CCSC1,-1,-1,-1,-1
1140,CC1=CC=CC=C1,-1,-1,-1,-1
1146,CN(C)C,-1,-1,-1,-1
2758,CC1(C2CCC(O1)(CC2)C)C,-1,-1,-1,-1
2879,CC1=CC=C(C=C1)O,-1,-1,-1,-1
2969,CCCCCCCCCC(=O)O,-1,-1,-1,-1
3314,COC1=C(C=CC(=C1)CC=C)O,-1,-1,-1,-1
3776,CC(C)O,-1,-1,-1,-1
4133,COC(=O)C1=CC=CC=C1O,-1,-1,-1,-1
5634,C=CCCCCCCCCC(=O)O,-1,-1,-1,-1
6054,C1=CC=C(C=C1)CCO,-1,-1,-1,-1
6184,CCCCCC=O,-1,-1,-1,-1
6448,CC(=O)OC1CC2CCC1(C2(C)C)C,-1,-1,-1,-1
6501,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,-1,-1,-1,-1
6544,CC1=CC(=O)CC(C1)(C)C,-1,-1,-1,-1
6561,CC(C)C=O,-1,-1,-1,-1
6590,CC(C)C(=O)O,-1,-1,-1,-1
6654,CC1=CCC2CC1C2(C)C,-1,-1,-1,-1
6736,CC1=CNC2=CC=CC=C12,-1,-1,-1,-1
6982,CC1=CC(=C(C=C1Cl)C(C)C)O,-1,-1,-1,-1
6989,CC1=CC(=C(C=C1)C(C)C)O,-1,-1,-1,-1
7059,CC1=CC2=C(C=C1)N=CC=C2,-1,-1,-1,-1
7150,COC(=O)C1=CC=CC=C1,-1,-1,-1,-1
7165,CCOC(=O)C1=CC=CC=C1,-1,-1,-1,-1
7344,CCOC(=O)C(C)O,-1,-1,-1,-1
7363,C1=COC(=C1)CS,-1,-1,-1,-1
7410,CC(=O)C1=CC=CC=C1,-1,-1,-1,-1
7460,CC1=CCC(C=C1)C(C)C,-1,-1,-1,-1
7463,CC1=CC=C(C=C1)C(C)C,-1,-1,-1,-1
7519,COC1=CC=CC=C1,-1,-1,-1,-1
7583,C1=CC=C(C=C1)OC2=CC=CC=C2,-1,-1,-1,-1
7600,CC(C)CCOC(=O)CC1=CC=CC=C1,-1,-1,-1,-1
7632,CC(C)(CCC1=CC=CC=C1)O,-1,-1,-1,-1
7654,CC(=O)OCCC1=CC=CC=C1,-1,-1,-1,-1
7685,CC1=CC=C(C=C1)OC(=O)C(C)C,-1,-1,-1,-1
7710,CCCCCC1CCC(=O)O1,-1,-1,-1,-1
7714,CCCCCCCC1CCC(=O)O1,-1,-1,-1,-1
7731,CC1=CC=C(C=C1)OC,-1,-1,-1,-1
7749,CCC(=O)OCC,-1,-1,-1,-1
7762,CCCC(=O)OCC,-1,-1,-1,-1
7793,C[C@@H](CCC=C(C)C)CCO,-1,-1,-1,-1
7799,CCCCCCCC(=O)OCC,-1,-1,-1,-1
7848,CCCS,-1,-1,-1,-1
7888,CC(CCCC(C)(C)O)CC=O,-1,-1,-1,-1
7921,CC1CCC(=O)O1,-1,-1,-1,-1
7966,C1CCC(CC1)O,-1,-1,-1,-1
7991,CCCCC(=O)O,-1,-1,-1,-1
8025,CCOC=O,-1,-1,-1,-1
8030,C1=CSC=C1,-1,-1,-1,-1
8048,CCCCCCCCCC(=O)OCC,-1,-1,-1,-1
8051,CCCCCC(=O)C,-1,-1,-1,-1
8091,CCCCCCCC(=O)OC,-1,-1,-1,-1
8103,CCCCCCO,-1,-1,-1,-1
8118,CCCSCCC,-1,-1,-1,-1
8130,CCCCCCC=O,-1,-1,-1,-1
8148,CCCCNCCCC,-1,-1,-1,-1
8186,CCCCCCCCCCC=O,-1,-1,-1,-1
8635,COC(=O)C1=CC=CC=C1N,-1,-1,-1,-1
8797,CC1=CC=C(C=C1)OC(=O)C,-1,-1,-1,-1
8858,CC(=CC(=O)C)C,-1,-1,-1,-1
8892,CCCCCC(=O)O,-1,-1,-1,-1
8918,CCCCCCCCCOC(=O)C,-1,-1,-1,-1
10430,CC(C)CC(=O)O,-1,-1,-1,-1
10560,CCC(C)S,-1,-1,-1,-1
10722,CC1=CC=CC=C1C=O,-1,-1,-1,-1
10821,C#CC1=CC=CC=C1,-1,-1,-1,-1
10882,CCCCC(=O)OCC,-1,-1,-1,-1
10890,CCCCCOC(=O)CCC,-1,-1,-1,-1
10976,CCCCCC(C)O,-1,-1,-1,-1
11002,CCCCSCCCC,-1,-1,-1,-1
11124,CCC(=O)OC,-1,-1,-1,-1
11509,CCCC(=O)CC,-1,-1,-1,-1
11552,CC(C)CC=O,-1,-1,-1,-1
12020,CCC(C=C)O,-1,-1,-1,-1
12178,CCCC(CC)O,-1,-1,-1,-1
12180,CCCC(=O)OC,-1,-1,-1,-1
12232,CSSC,-1,-1,-1,-1
12348,CCCCCOC(=O)C,-1,-1,-1,-1
12367,CCCCCCCC(C)O,-1,-1,-1,-1
12741,CCCCCCCCC(=O)C,-1,-1,-1,-1
14286,CC(=O)C1=CC=CC=N1,-1,-1,-1,-1
15380,CSCSC,-1,-1,-1,-1
16666,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,-1,-1,-1,-1
18827,CCCCCC(C=C)O,-1,-1,-1,-1
19310,CSSSC,-1,-1,-1,-1
22201,CC1=NC=CN=C1C,-1,-1,-1,-1
22386,CCCC(C)O,-1,-1,-1,-1
22873,CCCCCCOC(=O)CCCCC,-1,-1,-1,-1
24915,CCCC(=O)OC(C)(C)CC1=CC=CC=C1,-1,-1,-1,-1
26331,CCC1=NC=CN=C1,-1,-1,-1,-1
31244,COC1=CC=C(C=C1)C=O,-1,-1,-1,-1
31249,CCOC(=O)CCC(=O)OCC,-1,-1,-1,-1
31265,CCCCCC(=O)OCC,-1,-1,-1,-1
31272,CCCCOC(=O)C,-1,-1,-1,-1
31276,CC(C)CCOC(=O)C,-1,-1,-1,-1
61016,CC(CCC=C(C)C)C=O,-1,-1,-1,-1
61138,C=CCCC(=O)O,-1,-1,-1,-1
62336,CC(C1=CC=CC=C1)C(OC)OC,-1,-1,-1,-1
62433,CCCCCOC(=O)CCCC,-1,-1,-1,-1
62444,CCCC(=O)SC,-1,-1,-1,-1
62465,CCC1=CC(=C(C=C1)O)OC,-1,-1,-1,-1
91497,CC1COCC2=CC3=C(C=C12)C(C(C3(C)C)C)(C)C,-1,-1,-1,-1
440917,CC1=CC[C@@H](CC1)C(=C)C,-1,-1,-1,-1
440967,CC1([C@H]2CCC(=C)[C@@H]1C2)C,-1,-1,-1,-1
443158,CC(=CCC[C@](C)(C=C)O)C,-1,-1,-1,-1
443162,CC1=CC[C@H](CC1)C(C)(C)O,-1,-1,-1,-1
637511,C1=CC=C(C=C1)/C=C/C=O,-1,-1,-1,-1
637566,CC(=CCC/C(=C/CO)/C)C,-1,-1,-1,-1
5281168,CCC/C=C/C=O,-1,-1,-1,-1
5281515,C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,-1,-1,-1,-1
5283349,CCCCC/C=C/C=C/C=O,-1,-1,-1,-1
5373603,CC/C=C\1/C2=CC=CC=C2C(=O)O1,-1,-1,-1,-1
