SMILES,pungent,sweet,floral,mint
CC(C)=CCCC(C)CCO,0,0,1,0
CC1CCC(C(C)C)C(=O)C1,0,0,0,1
CCCCCCCCCC=O,0,1,0,0
Cc1occc(=O)c1O,0,1,0,0
OCCc1ccccc1,0,0,1,0
C=CC(C)(O)CCC=C(C)C,0,0,1,0
CC1=CCC(=C(C)C)CC1,0,1,0,0
C=CC(C)(CCC=C(C)C)OC(C)=O,0,1,0,0
CCCC=O,1,0,0,0
CC1=CCC(C(C)(C)O)CC1,0,0,1,0
CC(C)CCOC(=O)CC(C)C,0,1,0,0
CC(C)=CCC/C(C)=C\CO,0,1,0,0
CC(=O)OC/C=C(/C)CCC=C(C)C,0,0,1,0
CCOC(=O)C1OC1(C)c1ccccc1,0,0,1,0
O=C(OCc1ccccc1)c1ccccc1,0,0,1,0
CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,0,1,1,0
CC(=O)OC/C=C(\C)CCC=C(C)C,0,0,1,0
O=C(O)Cc1ccccc1,0,1,1,0
CC(=O)OCc1ccccc1,0,1,1,0
COc1ccc(C=O)cc1,0,1,1,0
CC(C)=CCC/C(C)=C/CO,0,1,1,0
CNc1ccccc1C(=O)OC,0,1,0,0
CCC(=O)O,1,0,0,0
C=Cc1ccccc1,0,0,1,0
CC(=O)/C=C/C1C(C)=CCCC1(C)C,0,0,1,0
CCCCCCCCCO,0,0,1,0
CC(=O)CCc1ccc(O)cc1,0,1,0,0
O=CCc1ccccc1,0,0,1,0
CCC(=O)OCc1ccccc1,0,0,1,0
C/C=C/c1ccc(OC)cc1,0,1,0,0
CCCCCCCCCCO,0,0,1,0
c1ccc2[nH]ccc2c1,0,0,1,0
CC(C)C(=O)OCCc1ccccc1,0,0,1,0
C=C(C)C1CC=C(C)C(OC(C)=O)C1,0,0,0,1
CC1=C(O)C(=O)OC1C,0,1,0,0
CCCCCCCCCCCCO,0,0,1,0
CC(C)COC(=O)c1ccccc1O,0,0,1,0
CC(C)=C1CC[C@@H](C)CC1=O,0,0,0,1
CC(=O)/C(C)=C/C1C(C)=CCCC1(C)C,0,0,1,0
CC(C)(O)Cc1ccccc1,0,0,1,0
CCOC(=O)C1OC1c1ccccc1,0,1,0,0
CC(C)=CCCC(C)CCOC=O,0,0,1,0
CC(=O)c1ccc(C)cc1,0,0,1,0
CC/C=C\CCOC(=O)c1ccccc1,0,0,1,0
CCC(=O)C(C)=O,0,1,0,0
COC(=O)c1ccccc1,0,0,1,0
COc1cc(CCC(C)=O)ccc1O,0,1,0,0
CCOC(=O)c1ccccc1O,0,1,1,0
CC(C)C=O,1,0,0,0
CCCCCCC1CCC(=O)O1,0,1,0,0
CCCCOC(=O)CC,0,1,0,0
O=C(Cc1ccccc1)OCCc1ccccc1,0,0,1,0
CCc1occc(=O)c1O,0,1,0,0
CCC(C)C1CCCCC1=O,0,0,0,1
CCCCCCCCCCCC(=O)OCC,0,1,1,0
C=CCN=C=S,1,0,0,0
C=C(C)C1CCC(C)C(=O)C1,0,0,0,1
CC(C)[C@@H]1CC[C@@H](C)CC1=O,0,0,0,1
CCCCCCOC(=O)CC(C)C,0,1,0,0
CCCOC(=O)CC,0,1,0,0
C/C=C/c1ccc(O)c(OC)c1,0,0,1,0
O=C(Cc1ccccc1)OCc1ccccc1,0,0,1,0
CCC(=O)OC/C=C(\C)CCC=C(C)C,0,0,1,0
CC1=CCC(=O)O1,0,1,0,0
C=CCOC(=O)CCC1CCCCC1,0,1,0,0
CCCCCCC#CC(=O)OC,0,0,1,0
C=CC(C)CCCC(C)(C)O,0,0,1,0
CCC(C)CCCC(C)(C)O,0,0,1,0
CCC/C=C/C(=O)O,0,1,0,0
COC(=O)Cc1ccccc1,0,1,1,0
CCC1CCC(=O)O1,0,1,0,0
CCCCC1CCC(=O)O1,0,1,0,0
CCCCCCCCCCCC=O,0,0,1,0
CCC(=O)/C=C/C1C(C)=CCCC1(C)C,0,0,1,0
CCC(=O)OCC(C)C,0,1,0,0
Cc1ccc(C=O)s1,0,1,0,0
CC/C=C\CC1=C(C)CCC1=O,0,0,1,0
CSCCCO,0,1,0,0
C=CC1(C)CCC(C(C)(C)O)O1,0,0,1,0
CCCC(=O)OCCc1ccccc1,0,0,1,0
O=C1CCCCCCCCCCCC(=O)OCCO1,0,1,1,0
CCCCOC(=O)c1ccccc1N,0,0,1,0
O=COCc1ccccc1,0,0,1,0
CCC(C)(O)CCCC(C)C,0,0,1,0
CCCCCCCCCCC=O,0,0,1,0
COC(CC(C)CCCC(C)(C)O)OC,0,0,1,0
CCCC(=O)CC,0,1,0,0
CC(C=O)Cc1ccc2c(c1)OCO2,0,0,1,0
CC(=O)OC1CCC(C(C)(C)C)CC1,0,0,1,0
C/C=C(\C)C(=O)OC/C=C(\C)CCC=C(C)C,0,0,1,0
O=C(OCc1ccccc1)c1ccccc1O,0,0,1,0
CC(=O)c1cc2c(cc1C)C(C)(C)C(C)CC2(C)C,0,1,0,0
CCCCCC1=C(C)CCC1=O,0,0,1,0
C=CC(C)(CCC=C(C)C)OC(=O)c1ccccc1,0,0,1,0
CCCC(=O)OCC(C)C,0,1,0,0
CC(C)COC(=O)c1ccccc1,0,1,0,0
CC(=O)OC(C)C,0,1,0,0
CC(C)CC(O)Cc1ccccc1,0,0,1,0
CC(=O)OC1C=C(C)C2CC(=C(C)C)CC2C(C)C1,0,1,0,0
CCCc1ccc(OC)cc1,0,1,0,0
O=Cc1ccc2c(c1)OCO2,0,0,1,0
CC1CCCCCCCCCCCCC(=O)C1,0,1,0,0
CC(=O)OC(C)(C)Cc1ccccc1,0,0,1,0
COC(=O)c1ccccc1OC,0,0,1,0
CC(CC=O)CCCC(C)(C)O,0,1,1,0
O=CCCc1ccccc1,0,0,1,0
CCOC(=O)C(C)=O,0,1,0,0
O=C1CCCCC=CCCCCCCCCCO1,0,1,0,0
CCOC(=O)c1ccccc1N,0,0,1,0
Cc1ccc(OC(=O)C(C)C)cc1,0,0,1,0
CC1CCc2nccnc21,0,1,0,0
CC(C)=CCCC(C)CCOC(=O)Cc1ccccc1,0,0,1,0
CC(C)OC(=O)Cc1ccccc1,0,1,1,0
CC(=O)OCc1ccc2c(c1)OCO2,0,0,1,0
C=C1C=CC(C(C)C)CC1,0,0,0,1
C=CC(C)(CCC=C(C)C)OC(=O)c1ccccc1N,0,0,1,0
CCCCCCCCOC(=O)CC,0,1,1,0
CC(C)=CCCC1=CCC(C=O)CC1,0,0,1,0
CCCC1CCC(=O)O1,0,1,0,0
C=C(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(C)=O,0,1,0,0
C=CCCC(=O)/C=C/C1C(C)=CCCC1(C)C,0,0,1,0
CCCCCCCCOC(=O)CC(C)C,0,0,1,0
CC/C=C\CCOC(=O)C(C)O,0,1,0,0
CC(C)(C)C1CCC(O)CC1,0,0,0,1
Cc1cccc(C=O)c1,0,1,0,0
C/C=C(\C)C(=O)OCC,0,1,0,0
CC(C)(O)CCc1ccccc1,0,0,1,0
CC(C)COC(=O)/C=C/c1ccccc1,0,1,0,0
CCC/C=C/COC(C)=O,0,1,0,0
C=C(C)C1CCC(C)C(OC(C)=O)C1,0,0,1,0
C=CC(=C)CCCC(C)(C)OC(C)=O,0,0,1,0
CC1CCC(C(C)(C)O)CC1,0,0,1,0
CCCOC(=O)Cc1ccccc1,0,1,1,0
CC(C)=CC1CC(C)=CCO1,0,0,1,0
CCCC(=O)OC(C)(C)C1CC=C(C)CC1,0,0,1,0
C=C(C)[C@@H]1CC=C(C)[C@H](O)C1,0,0,0,1
CCOC(=O)CCc1ccco1,0,1,0,0
CC(=O)CCC(=O)O,0,1,0,0
CCCCC1CCCC(=O)O1,0,1,0,0
CCCOC=O,0,1,0,0
CCC(C)O,0,1,0,0
O=CO,1,0,0,0
CSCc1ccco1,1,0,0,0
CCCCCCCCC1CCC(=O)O1,0,1,0,0
CCC(=O)OC/C=C(/C)CCC=C(C)C,0,1,1,0
CC(=O)O[C@@H]1C[C@H](C)CC[C@H]1C(C)C,0,0,0,1
CCOC(=O)CC(O)C(=O)OCC,0,1,0,0
CC(=O)CO,0,1,0,0
O=C(OCCc1ccccc1)c1ccccc1O,0,0,1,0
O=CCOc1ccccc1,0,0,1,0
CC(C)=CC1CC(C)CCO1,0,0,1,0
O=C1CCC2CCCCC2O1,0,1,0,0
CCCCC1CCCCC(=O)O1,0,1,0,0
CCCC1CCCC(=O)O1,0,1,0,0
CCC(=O)OCCC(C)C,0,1,0,0
C/C=C(C)/C=C/C=C(C)C,0,0,1,0
CC(C)=CCC/C(C)=C/COC(=O)C(C)C,0,1,1,0
C=C(C)C1CC=C(CO)CC1,0,0,1,0
C=CCOC(=O)CCCCCCCC,0,1,0,0
CC(C)CC(=O)Cc1ccccc1,0,1,0,0
C=CC(C)(C)C(=O)C=C(C)C,0,0,0,1
C=CCc1ccc(OC(C)=O)c(OC)c1,0,0,1,0
COCc1ccccc1,0,0,1,0
O=C(/C=C/c1ccccc1)OC/C=C/c1ccccc1,0,1,1,0
CCCCN=C=S,1,0,0,0
C=CC(=C)CC/C=C(\C)CC/C=C(\C)C=O,0,1,0,0
CC(C=O)Cc1ccc(C(C)C)cc1,0,0,1,0
CC(C)=CCCC(C)CC(=O)O,0,0,1,0
CCCOC(=O)C(C)C,0,1,0,0
CCCCCCCCC(C)=O,0,0,1,0
COC1=C(C)OC(C)C1=O,0,1,0,0
CC(C)CC(=O)OC1CC(C)CCC1C(C)C,0,1,0,0
C=CCc1cc(OC)c(OC)c(OC)c1,0,0,1,0
C=C(C)C1CCC(C)CC1OC(C)=O,0,1,0,0
CC1OCCC1=O,0,1,0,0
CC(C)C12CCC(C)(O)C1C2,0,0,0,1
CCCCCC(CC)OC(C)=O,0,0,0,1
CC(C=O)c1ccccc1,0,0,1,0
CCC(C)COC(C)=O,0,1,0,0
CCCCCCCOC=O,0,0,1,0
C=C(C)C1CCC(C)CC1O,0,0,0,1
CCC(C)COC(=O)C(C)CC,0,1,0,0
CCCC(=O)C(CC)Cc1ccccc1,0,0,0,1
CCON=O,0,1,0,0
C=CCOC(=O)CCCCCC,0,1,0,0
COCCc1ccccc1,0,0,1,0
COCCC(C)(C)S,0,0,0,1
CC1CCC(=O)O1,0,1,0,0
CCCCC(CC)CO,0,1,1,0
COC(=O)CCC(=O)OC,0,0,1,0
CC(=O)C(=O)CC(C)C,0,1,0,0
CC(=O)CCC1C(C)=CCCC1(C)C,0,0,1,0
C=CC(=O)CC,1,0,0,0
CC(C)=CCC/C(C)=C/COC(=O)c1ccccc1N,0,0,1,0
CCCCCC(C=O)=Cc1ccccc1,0,0,1,0
CC(C)COC(=O)c1ccccc1N,0,1,1,0
CC(C)=CCC/C(C)=C\COC(=O)C(C)C,0,1,0,0
C=Cc1ccc(O)cc1,0,1,0,0
C=C(C)C1CC=C(C)C(O)C1,0,0,0,1
CC(C)COC(=O)Cc1ccccc1,0,1,1,0
C=C(C)CCC[C@H](C)CCO,0,0,1,0
C/C=C/C(=O)C1C(C)=CCCC1(C)C,0,0,1,0
CC1=C2CCC(C)CC2OC1=O,0,1,0,0
CCCCCC/C(C=O)=C\c1ccccc1,0,0,1,0
CC(C)C(=O)OCCOc1ccccc1,0,1,1,0
CC1CCC(=O)C1=O,0,1,0,0
CC(=O)C=CC1=C(C)CCCC1(C)C,0,1,1,0
C=CC(C)(O)CCCC(C)CCCC(C)CCCC(C)C,0,0,1,0
C=CCOC(=O)CCCCC,0,1,0,0
C=CCOC(=O)CCC,1,1,0,0
CC(C)CCOC(=O)c1ccccc1,0,1,0,0
COC(OC)C(C)c1ccccc1,0,0,1,0
CC(=O)OCCC1CCCCC1,0,0,1,0
Cc1ccccc1,0,1,0,0
CC1(C)C2CC=C(CO)C1C2,0,0,0,1
CC1CCCCC1=O,0,0,0,1
CCC(=O)OCCCc1ccccc1,0,0,1,0
COC(=O)CCc1ccccc1,0,0,1,0
CCCCCCCCC(OC)OC,0,0,1,0
CC/C=C/C=O,1,0,0,0
CCCCC/C(=C\c1ccccc1)CO,0,0,1,0
COc1ccc(OC)cc1,0,1,0,0
CCOCc1ccccc1OC,0,0,1,0
C=C(C)CCCC(C)CCOC(C)=O,0,0,1,0
CCC(=O)C(=O)O,0,1,0,0
CCNC(=O)C1CC(C)CCC1C(C)C,0,0,0,1
C=C/C(C)=C/CCC(C)(C)O,0,1,0,0
CCCCC/C=C\CC1CCC(=O)O1,0,1,0,0
CCOc1cc(C2OCC(C)O2)ccc1O,0,1,0,0
CCc1ccc(C=O)cc1,0,1,0,0
CC(C)=CCCC(C)CCCC(C)C=O,0,0,1,0
CCC(C)C(=O)OCCC(C)C,0,1,0,0
CC(C)=CCCC(C)CCOC(=O)c1ccccc1N,0,0,1,0
C/C=C/c1ccc(OC(=O)Cc2ccccc2)c(OC)c1,0,1,1,0
CCCCOCc1ccccc1,0,0,1,0
CC(C)CCOC(=O)c1ccccc1O,0,0,1,0
C=C/C(C)=C/CC=C(C)C,0,1,0,0
CCCCCCCCC(=O)OCCC(C)C,0,0,1,0
O=COC1CCCCC1,0,1,0,0
CCCC(=O)OC(C)c1ccccc1,0,1,0,0
CCCCCCCC(OC)OC,0,0,1,0
C=C(C)C1CCC(C)CC1=O,0,0,0,1
CC(C)=CCC/C(C)=C/COC(=O)Cc1ccccc1,0,0,1,0
CCCCC/C(C=O)=C/c1ccccc1,0,0,1,0
CC(C)=CCC/C(C)=C/COC(=O)c1ccccc1,0,0,1,0
CC(C)CCOC(=O)Cc1ccccc1,0,1,0,0
C=CC(C)(CCC=C(C)C)OC(=O)Cc1ccccc1,0,0,1,0
COC(=O)CCC(C)C,0,1,0,0
CCC(C)(O)CCC=C(C)C,0,0,1,0
C=Cc1ccc(OC)c(OC)c1,0,0,1,0
CCCCC/C=C/C(=O)OC,0,1,0,0
COc1ccc(C(C)=O)cc1OC,0,0,1,0
O=C(Oc1ccccc1)c1ccccc1O,0,0,1,0
C/C=C/C(=O)C1CCC(C)(C)C=C1C,0,0,1,0
CCCCCCCCC(=O)OCc1ccccc1,0,0,1,0
C=C(C)[C@@H]1CCC2=CC(=O)C[C@@H](C)[C@]2(C)C1,0,1,0,0
CC1=CC(=O)CCC1,0,1,0,0
CCCCC/C(C=O)=C\c1ccccc1,0,0,1,0
C=C/C(C)=C\CC=C(C)C,0,0,1,0
CCC(C)(CCc1ccccc1)OC(C)=O,0,0,1,0
CC1=CCC(C(C)(C)OC=O)CC1,0,0,1,0
CCOC(C)OCCc1ccccc1,0,0,1,0
CCCCCCCCC(OCC)OCC,0,0,1,0
COc1ccc(/C=C/C=O)cc1,0,0,1,0
CC(C)OC(=O)c1ccccc1,0,1,1,0
C/C=C(/C)C(=O)OCCC(C)C,0,0,1,0
C=CCOC(=O)CC(C)C,0,1,0,0
CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,0,1,0,0
C=CCc1ccc(OCc2ccccc2)c(OC)c1,0,0,1,0
CCCC(O)CC(=O)OC,0,1,0,0
CCCCCCC(C)C=O,0,0,1,0
CCC(=O)C1CC(C(C)C)CC=C1C,0,0,1,0
CCCC(=O)CC(=O)OCC,0,1,0,0
CCCCCC1COCCC1OC(C)=O,0,0,1,0
CCC(=O)Oc1c(C)occc1=O,0,1,0,0
CC/C=C\CCOC(=O)c1ccccc1O,0,0,1,0
Cc1ccnc2ccccc12,0,0,1,0
CCCCC(=O)OCc1ccco1,0,1,0,0
C=CCOC(=O)CCCCCCCCC,0,1,0,0
COc1cnccn1,0,1,0,0
CCCCCCCCCCCC(=O)Oc1ccc(C)cc1,0,1,1,0
C=CC1(C)CCC(C(=C)C)O1,0,0,0,1
CC(=O)c1cc(C)ccc1O,0,0,1,0
CC(C)=CC=O,1,1,0,0
C=CCCCCCCCCCO,0,0,1,0
CC(=O)OC1C2(C)CCC(C2)C1(C)C,0,1,0,0
CCCCC(=O)OC,0,1,0,0
O=C1CCCCCCCCCCCCCCCO1,0,1,0,0
CCC(O)c1ccccc1,0,0,1,0
CC(C)COC(Cc1ccccc1)OCC(C)C,0,1,1,0
CC(CO)c1ccccc1,0,0,1,0
CCCC(O)Cc1ccccc1,0,1,0,0
COC(C)(C)CCCC(C)CC=O,0,1,1,0
CC(CCO)CC(C)(C)C,0,0,1,0
C/C=C(\C)C(=O)OCCC(C)CCC=C(C)C,0,0,1,0
CC1CCC(C(C)(C)S)C(=O)C1,0,0,0,1
C=C(C)C1CC=C(C)C(=O)C1,0,0,0,1
CCOC(CC(C)CCCC(C)(C)O)OCC,0,0,1,0
C1CCNCC1,0,1,1,0
CC(=O)OC1CC(C)CC(C)(C)C1,0,0,1,1
CC(C)=CCC/C(C)=C\COC(=O)CC(C)C,0,0,1,0
Cc1ccc(C(C)C=O)cc1,0,1,1,0
CC(=O)CCc1ccccc1,0,0,1,0
Cc1ccc(C)c(O)c1,0,1,0,0
CCCCCC(/C=C/c1ccccc1)OC(C)=O,0,0,1,0
CC(C=O)CCc1ccccc1,0,0,1,0
CC(C)=C[C@@H]1C[C@H](C)CCO1,0,0,1,0
CCCCCCC1(C)CCC(=O)O1,0,0,1,0
CC(C)CCOCc1ccccc1,0,0,1,0
CC(C)COC(=O)CC(C)C,0,1,0,0
C=CC(=C)CCCC(C)(C)O,0,0,1,0
CN=C=S,1,0,0,0
O=C(C=Cc1ccccc1)OCC=Cc1ccccc1,0,1,1,0
CCCCCCOC(=O)c1ccco1,0,1,1,0
O=C(Cc1ccccc1)OC1CCCCC1,0,0,1,0
CCOC(=O)c1ccco1,0,0,1,0
CNc1ccccc1C(=O)OCC(C)C,0,0,1,0
CCC(C=O)CC,0,1,0,0
C=C(C)CCCC(C)CCOC(=O)CC,0,0,1,0
CC(=O)c1ccc(O)cc1,0,1,1,0
CC(C)(S)CCO,0,1,0,0
CC1=C(O)C(=O)CO1,0,1,0,0
OCCCCCc1ccccc1,0,0,1,0
CCCCCC1OC(=O)CC1C,0,0,1,0
CC1CC(C)(C)OC(Cc2ccccc2)O1,0,0,1,0
CC/C=C1\OC(=O)c2ccccc21,0,1,0,0
CC(C)(C)C1CCCCC1=O,0,0,0,1
C=C1CCCC(C)(C)C1/C=C/C(C)=O,0,0,1,0
C/C=C/C(=O)OCCCCCC,0,1,0,0
C=C1C(=O)CC2CC1C2(C)C,0,0,0,1
CCOC(=O)CCCc1ccccc1,0,1,0,0
C=CC(C)(CCC=C(C)C)OC(=O)/C=C/c1ccccc1,0,1,0,0
C/C=C(\C)C(=O)OCCCC,0,0,1,0
CC(C)/C=C(/C=O)c1ccccc1,0,1,1,0
C=CCO,1,0,0,0
CC(=O)CCc1ccc2c(c1)OCO2,0,1,1,0
COC(C)(C)CCCC(C)C=O,0,0,1,0
CC(=O)OC(CC(C)C)CC(C)C,0,0,1,0
CCCOC(=O)c1ccco1,0,1,0,0
CCCCCCCCCCC(OC)OC,0,0,1,0
CCCOC(=O)c1ccccc1O,0,0,1,0
CC(C)CCOC(=O)CCCc1ccco1,0,1,0,0
CCOC(=O)CC(C)CC(C)(C)C,0,0,1,0
Cc1ccc2ccccc2c1,0,1,1,0
CC(=O)OC1CC2CC1C1CC=CC21,0,0,1,0
CCCCCCC(=O)OCCc1ccccc1,0,0,1,0
CCCCCCCCCOC(=O)c1ccccc1N,0,1,0,0
C=C1CC[C@H]2O[C@]2(C)CC[C@@H]2[C@@H]1CC2(C)C,0,1,0,0
COc1cc(C=O)ccc1OC(=O)C(C)C,0,1,0,0
CCCC=CCOC(C)=O,0,1,0,0
CCCCCC(CO)C(C)=O,0,1,0,0
CCCCCCCOC(=O)C(C)C,0,1,1,0
C=CC1(C)CCC(O)C(C)(C)O1,0,0,1,0
CC(=O)CCc1ccc(C)cc1,0,1,1,0
C=C(C)C1CCC2(C)OC2C1,0,0,0,1
CCCCCOC(=O)c1ccccc1O,0,1,1,0
O=C1CCCCCCC/C=C\CCCCCCO1,0,1,0,0
c1ccc(CCOC2CCCCC2)cc1,0,0,1,0
O=C1CCCCCCCCCCOCCCCO1,0,1,0,0
C=C1C=CC(C(C)CCC=C(C)C)CC1,0,1,0,0
CCC(=O)OC(C)(C)Cc1ccccc1,0,1,1,0
CCCCCOC(=O)c1ccccc1N,0,0,1,0
C=C[C@](C)(O)CCC=C(C)C,0,0,1,0
CCC(C)C(=O)OC(C)C,0,1,0,0
Cc1c([N+](=O)[O-])c(C)c([N+](=O)[O-])c(C(C)(C)C)c1[N+](=O)[O-],0,1,0,0
Cc1ccc(CO)cc1,0,0,1,0
CC1(C)CCCC(C)(O)C1=O,0,1,0,0
O=C(OC1CCCCC1)c1ccccc1,0,0,1,0
CC1C2CC(CC2C2CCC(O)CC2)C1(C)C,0,1,0,0
CCCCCCCOC(=O)CC,0,0,1,0
Cc1ccccc1CCO,0,0,1,0
CCCCCC(OC)OC,0,1,0,0
Cc1coc2c1CC[C@@H](C)C2,0,0,0,1
C/C=C/C=C/C(=O)OC,1,1,0,0
C=CC(C)(CC/C=C(\C)CC)OC(C)=O,0,0,1,0
CC1=CC(=O)C2CC1C2(C)C,0,0,0,1
CCOC(=O)c1ccccc1OC,0,0,1,0
CC(=O)CCCC(C)CCCC(C)CCCC(C)C,0,0,1,0
CC(C)=C1CCC(C)C2=C(C1)C(C)CC2,0,1,0,0
CC1(C)COC(C)(c2ccccc2)OC1,0,1,0,0
CC1=C2C[C@H](C(C)(C)O)CC[C@]2(C)CCC1,0,1,1,0
CC(C)(C)C1CCC(=O)CC1,0,0,0,1
CC(=O)/C=C/C1=C(C)CCC(C)C1(C)C,0,1,1,0
COC(=O)/C=C(\C)CCC=C(C)C,0,0,1,0
CC(C)C(=O)OCC(C)c1ccccc1,0,0,1,0
CC/C=C/CCC1CCCC(=O)O1,0,1,1,0
CCCCc1ccco1,0,1,0,0
CCCCCCOC,0,1,0,0
CC1=CC(=O)[C@@H](C(C)C)CC1,1,0,0,1
COc1ccc(C(OC)OC)cc1,0,0,1,0
CC(=CC(C)C)C(=O)O,0,1,0,0
O=COCCCc1ccccc1,0,1,1,0
C=C(C)CCCC(C)CCOC(=O)C(C)C,0,1,1,0
CC(c1ccccc1)C1OCCO1,0,0,1,0
CC(C)c1ccc(CCC=O)cc1,0,0,1,0
CCCCCCOC(C)OCCCCCC,0,1,0,0
CC(=O)CC(=O)OCC(C)C,0,1,0,0
CCOC(=O)C(=O)OCCC(C)CCC=C(C)C,0,1,1,0
CC1OC(C)OC(C)O1,0,1,0,0
CCNc1ccccc1C(=O)OCC,0,0,1,0
CCc1ccc(C(C)=O)cc1,0,0,1,0
Cc1cccc(OC(=O)Cc2ccccc2)c1,0,0,1,0
CC1=CCC(C(C)(C)OC(=O)/C=C/c2ccccc2)CC1,0,1,0,0
CCCCCCCCCOC(=O)CCCCCCC,0,1,1,0
CC(C)=CCc1occc1C,0,0,0,1
COC(C)(C)C1CC=C(C)CC1,0,0,1,0
CCCOC(=O)CC(C)C,0,1,0,0
CC(=O)OC(C)C(C)=O,1,1,0,0
C=C[C@@](C)(O)CCC=C(C)C,0,1,1,0
C=CC(C)(CCC=C(C)C)OC(=O)CC(C)C,0,1,0,0
CC1=CC(=O)CC1,0,1,0,0
O=[N+]([O-])CCc1ccccc1,0,0,1,0
CCCCCCCCCCC(C)=O,0,0,1,0
CCCCCCCCCCCCCCC(=O)OCC,0,1,0,0
CCCCC(=O)OCc1ccccc1,0,0,1,0
CCC/C=C/COC(=O)c1ccccc1O,0,0,1,0
CCCCCCC(CC)OC(C)=O,0,0,1,0
CC1CCC2CC1SC2(C)C,0,0,0,1
CCCCCCCC(=O)OCc1ccco1,0,1,0,0
CCCCCCCOC(=O)CCC,0,1,1,0
CCCCCCC1OCC(CO)O1,0,1,0,0
C=CCOC(=O)c1ccccc1,0,1,1,0
C=C=CC(C)C(=O)OCC,0,1,0,0
CCC(CC)COC(C)=O,0,1,0,0
C=CCOC(=O)CC1CCCCC1,0,1,0,0
CCC(=O)OC(C)c1ccccc1,0,1,1,0
CCCCC(=O)OCCc1ccccc1,0,0,1,0
CCCCCC=C1CCCC1=O,0,0,1,0
CCCCCCC1CCCC1=O,0,0,1,0
CCCCCC1C=CC(=O)O1,0,0,0,1
CC(C)(C)C1CCCCC1O,0,0,0,1
C=CC(C)(CCC=C(C)C)OC(=O)CCCCCCC,0,1,0,0
COc1ccccc1-c1ccccc1,0,0,1,0
CC(=O)c1oc(C)cc1C,0,1,0,0
CC(=O)OCc1ccco1,0,1,0,0
CCCCCC(OCC)OCC,0,0,1,0
CC(=O)OCC=C(C)CCC=C(C)CCC=C(C)C,0,0,1,0
CC1=C(/C=C/C(C)O)C(C)(C)CCC1,0,0,1,0
O=C(O)C(=O)Cc1ccccc1,0,1,0,0
CCCCCCC#CC(=O)OCC,0,0,1,0
CC(=O)c1cc2c(cc1C)C(C)(C)C(C)C2(C)C,0,1,0,0
CC(=O)/C=C/C12OC1(C)CCCC2(C)C,0,1,0,0
CCCCCC(=O)c1ccco1,0,1,0,0
OCCOc1ccccc1,0,0,1,0
CC(=O)/C=C/c1ccccc1,0,0,1,0
CC/C=C\C[C@H]1C(=O)CC[C@@H]1CC(=O)OC,0,0,1,0
C=CCc1ccc(OC(=O)Cc2ccccc2)c(OC)c1,0,1,0,0
CCCCOC(=O)C(C)CCC,0,0,1,0
CC(=O)OCCCCC(C)C,0,1,0,1
CCCCCC1=CCCC1=O,0,0,1,0
CCCCC(=O)c1ccco1,0,1,0,0
CCCCCCCCCC(=O)OCCC(C)C,0,1,0,0
CCC(=O)CO,0,1,0,0
C=CC(C)(O)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,0,0,1,0
CC(C)CC(C)O,1,0,0,0
CCOC(=O)C(Cc1ccccc1)C(C)=O,0,1,1,0
CC(C)=CC(=O)OC(C)C,0,1,0,1
CCCC(=O)OCC(C)c1ccccc1,0,1,0,0
